City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Port Lincoln,-34.7333,135.8667,62.44,65,100,13.58,AU,2022-05-13 00:39:25
67,Imbituba,-28.24,-48.6703,66.85,89,97,5.93,BR,2022-05-13 00:39:25
68,Sao Pedro,-22.5486,-47.9139,61.02,85,0,2.89,BR,2022-05-13 00:39:26
69,Sinnamary,5.3833,-52.95,77.99,86,19,12.5,GF,2022-05-13 00:39:26
70,Butaritari,3.0707,172.7902,81.27,74,100,15.73,KI,2022-05-13 00:39:27
71,Sunnyside,46.3237,-120.0087,55.99,69,100,9.22,US,2022-05-13 00:39:28
72,Doda,33.1333,75.5667,72.05,49,0,5.26,IN,2022-05-13 00:39:28
73,Dikson,73.5069,80.5464,25.21,79,100,8.63,RU,2022-05-13 00:39:30
74,Kandrian,-6.2167,149.55,88.83,59,100,5.41,PG,2022-05-13 00:39:30
75,Saint George,37.1041,-113.5841,73.44,13,0,9.22,US,2022-05-13 00:38:41
76,Finnsnes,69.2296,17.9811,35.76,94,100,3.56,NO,2022-05-13 00:39:31
77,Torbay,47.6666,-52.7314,39.38,81,20,17.0,CA,2022-05-13 00:35:39
78,Atuona,-9.8,-139.0333,78.78,79,22,23.6,PF,2022-05-13 00:39:32
79,Souillac,-20.5167,57.5167,74.05,77,95,9.4,MU,2022-05-13 00:39:33
80,Bandarbeyla,9.4942,50.8122,80.92,83,100,14.34,SO,2022-05-13 00:39:33
81,Mbuguni,-3.5667,36.95,63.95,92,100,3.76,TZ,2022-05-13 00:39:34
82,Jiaozuo,35.2397,113.2331,68.22,30,0,5.26,CN,2022-05-13 00:39:35
83,Lakes Entrance,-37.8811,147.981,62.17,83,27,2.68,AU,2022-05-13 00:39:35
84,Cherskiy,68.75,161.3,34.38,100,78,10.74,RU,2022-05-13 00:39:36
85,Rudnogorsk,57.2639,103.7519,57.87,38,22,1.81,RU,2022-05-13 00:39:37
86,Provideniya,64.3833,-173.3,41.36,70,75,4.47,RU,2022-05-13 00:40:37
87,Kalia,23.0396,89.6328,83.17,81,24,12.75,BD,2022-05-13 00:40:38
88,Miramar,25.9873,-80.2323,77.02,74,40,9.22,US,2022-05-13 00:38:05
89,Ranong,9.9658,98.6348,76.93,80,100,5.93,TH,2022-05-13 00:40:38
90,Faya,18.3851,42.4509,68.11,29,1,3.89,SA,2022-05-13 00:40:39
91,Ishigaki,24.3448,124.1572,78.93,100,75,14.97,JP,2022-05-13 00:40:40
92,San Patricio,28.017,-97.5169,83.53,72,0,14.56,US,2022-05-13 00:40:40
93,Puerto Ayora,-0.7393,-90.3518,72.55,94,70,6.89,EC,2022-05-13 00:40:41
94,Havre,49.5833,0.3333,53.37,82,0,11.5,FR,2022-05-13 00:40:42
95,Hamilton,39.1834,-84.5333,79.65,50,0,9.22,US,2022-05-13 00:40:30
96,Veraval,20.9,70.3667,82.2,78,3,13.85,IN,2022-05-13 00:40:11
97,Maceio,-9.6658,-35.7353,76.44,94,75,3.44,BR,2022-05-13 00:40:43
98,Nagato,34.3833,131.2,65.19,99,100,7.54,JP,2022-05-13 00:40:43
99,Yulara,-25.2406,130.9889,72.09,30,4,9.6,AU,2022-05-13 00:40:44
100,Cape Town,-33.9258,18.4232,58.1,93,100,5.75,ZA,2022-05-13 00:37:59
101,Qaanaaq,77.484,-69.3632,12.36,75,14,5.44,GL,2022-05-13 00:40:45
102,Kulpahar,25.3167,79.65,93.02,20,0,6.6,IN,2022-05-13 00:40:46
103,Hasaki,35.7333,140.8333,68.4,97,100,8.61,JP,2022-05-13 00:40:46
104,Sale,34.0389,-6.8166,77.63,52,40,6.91,MA,2022-05-13 00:40:47
105,Chadiza,-14.0678,32.4392,57.69,89,0,2.73,ZM,2022-05-13 00:40:47
106,Iberia,29.9502,-91.7507,89.67,65,0,8.05,US,2022-05-13 00:40:48
107,Nouadhibou,20.931,-17.0347,69.78,78,2,18.41,MR,2022-05-13 00:40:48
108,Puerto Carreno,6.189,-67.4859,80.11,78,87,6.22,CO,2022-05-13 00:40:49
109,New Norfolk,-42.7826,147.0587,54.91,63,98,1.05,AU,2022-05-13 00:40:50
110,Olinda,-8.0089,-34.8553,80.33,89,40,9.22,BR,2022-05-13 00:40:50
111,Coquimbo,-29.9533,-71.3436,53.33,100,75,4.61,CL,2022-05-13 00:40:52
112,Dingle,10.9995,122.6711,87.01,64,70,6.38,PH,2022-05-13 00:40:52
113,Carauari,-4.8828,-66.8958,74.28,97,100,1.52,BR,2022-05-13 00:40:53
114,Teguise,29.0605,-13.564,64.62,77,20,8.05,ES,2022-05-13 00:40:53
115,Manta,-0.95,-80.7333,76.78,83,40,10.36,EC,2022-05-13 00:38:17
116,Bathsheba,13.2167,-59.5167,81.21,74,40,17.27,BB,2022-05-13 00:40:54
117,Ati,13.2154,18.3353,91.09,33,1,8.43,TD,2022-05-13 00:40:55
118,Ketchikan,55.3422,-131.6461,48.67,66,100,9.22,US,2022-05-13 00:40:55
119,Chulym,55.0997,80.9572,56.71,35,100,3.06,RU,2022-05-13 00:40:56
120,Igarka,67.4667,86.5833,34.11,100,100,8.37,RU,2022-05-13 00:40:56
121,Palu,-0.8917,119.8707,80.4,87,98,1.1,ID,2022-05-13 00:40:57
122,South Venice,27.0531,-82.4243,78.84,64,0,11.5,US,2022-05-13 00:40:57
123,Lazaro Cardenas,17.9583,-102.2,83.08,73,2,9.66,MX,2022-05-13 00:40:58
124,Srednekolymsk,67.45,153.6833,38.73,94,81,5.79,RU,2022-05-13 00:40:59
125,Ewa Beach,21.3156,-158.0072,84.15,55,40,20.71,US,2022-05-13 00:40:59
126,Lahij,13.1667,44.5833,83.62,50,71,0.87,YE,2022-05-13 00:41:00
127,Touros,-5.1989,-35.4608,77.49,88,19,10.07,BR,2022-05-13 00:38:51
128,Antofagasta,-23.65,-70.4,60.08,84,30,3.78,CL,2022-05-13 00:37:30
129,Pisco,-13.7,-76.2167,65.01,88,1,3.44,PE,2022-05-13 00:41:01
130,Yellowknife,62.456,-114.3525,46.92,53,20,12.66,CA,2022-05-13 00:41:01
131,Chicama,-7.8447,-79.1469,61.34,80,98,5.59,PE,2022-05-13 00:41:02
132,Roma,43.2128,-75.4557,77.14,31,0,5.75,US,2022-05-13 00:42:03
133,Hangu,39.2489,117.7892,60.84,22,43,12.03,CN,2022-05-13 00:42:04
134,Waipawa,-41.4122,175.5153,55.62,53,100,5.3,NZ,2022-05-13 00:42:04
135,Fukue,32.6881,128.8419,66.56,100,75,4.61,JP,2022-05-13 00:42:05
136,Cheremkhovo,53.1561,103.0675,51.69,38,100,3.62,RU,2022-05-13 00:42:06
137,Comodoro Rivadavia,-45.8667,-67.5,48.06,100,0,1.14,AR,2022-05-13 00:41:20
138,Sur,22.5667,59.5289,86.63,32,9,10.92,OM,2022-05-13 00:42:06
139,Castro,-24.7911,-50.0119,53.67,93,0,1.72,BR,2022-05-13 00:42:07
140,Troyes,48.3333,4.0833,59.05,77,0,3.44,FR,2022-05-13 00:41:13
141,Sakakah,29.9697,40.2064,71.17,17,0,7.72,SA,2022-05-13 00:42:08
142,Namibe,-15.1961,12.1522,72.88,66,0,3.62,AO,2022-05-13 00:42:08
143,Auburn Hills,42.6875,-83.2341,79.29,29,75,6.91,US,2022-05-13 00:42:09
144,Nantucket,41.2835,-70.0995,55.99,94,100,9.22,US,2022-05-13 00:42:10
145,Beachwood,41.4645,-81.5087,81.73,43,75,9.22,US,2022-05-13 00:37:41
146,Leh,34.1667,77.5833,45.12,53,34,5.48,IN,2022-05-13 00:42:11
147,Mbandaka,0.0487,18.2603,69.46,92,10,1.14,CD,2022-05-13 00:42:11
148,Bogorodskoye,56.55,37.8833,44.38,87,69,15.97,RU,2022-05-13 00:42:12
149,Kiama,-34.6833,150.8667,68.58,89,100,7.0,AU,2022-05-13 00:42:12
150,Chokurdakh,70.6333,147.9167,32.65,100,100,8.01,RU,2022-05-13 00:42:13
151,Khandbari,27.3747,87.2039,72.19,83,84,0.85,NP,2022-05-13 00:42:14
152,Tasiilaq,65.6145,-37.6368,26.76,64,56,3.51,GL,2022-05-13 00:42:15
153,Dryden,49.7833,-92.7503,57.49,77,100,12.66,CA,2022-05-13 00:42:15
154,Jimma,7.6667,36.8333,58.44,88,12,1.52,ET,2022-05-13 00:42:16
155,Bria,6.5423,21.9863,69.46,94,100,2.15,CF,2022-05-13 00:42:16
156,Faanui,-16.4833,-151.75,81.93,68,1,15.86,PF,2022-05-13 00:42:17
157,Ahipara,-35.1667,173.1667,64.2,49,6,2.48,NZ,2022-05-13 00:42:18
158,Alice Springs,-23.7,133.8833,69.22,32,0,3.44,AU,2022-05-13 00:37:45
159,Bojonegoro,-7.1502,111.8817,81.91,83,8,4.27,ID,2022-05-13 00:42:18
160,Takoradi,4.8845,-1.7554,80.02,83,100,5.39,GH,2022-05-13 00:42:19
161,Landerneau,48.4525,-4.2525,52.56,96,0,5.75,FR,2022-05-13 00:42:19
162,Esperance,-33.8667,121.9,56.1,76,1,25.05,AU,2022-05-13 00:42:20
163,Pravia,43.4906,-6.1508,57.07,100,100,3.44,ES,2022-05-13 00:42:21
164,Bosaso,11.2842,49.1816,80.6,67,72,3.74,SO,2022-05-13 00:42:21
165,Vanimo,-2.6741,141.3028,84.31,71,100,3.38,PG,2022-05-13 00:42:22
166,Hambantota,6.1241,81.1185,77.34,100,75,6.91,LK,2022-05-13 00:42:22
167,Lufilufi,-13.8745,-171.5986,89.38,76,88,6.82,WS,2022-05-13 00:42:23
168,Aden,12.7794,45.0367,85.87,68,6,6.42,YE,2022-05-13 00:38:36
169,Lorengau,-2.0226,147.2712,85.28,66,100,6.35,PG,2022-05-13 00:42:24
170,Ostrovnoy,68.0531,39.5131,39.78,84,100,6.62,RU,2022-05-13 00:42:25
171,Salalah,17.0151,54.0924,84.29,42,0,3.44,OM,2022-05-13 00:42:26
172,Airai,-8.9266,125.4092,72.12,63,56,1.79,TL,2022-05-13 00:42:26
173,Norton Shores,43.1689,-86.2639,80.78,39,75,0.0,US,2022-05-13 00:42:27
174,Yilan,24.757,121.753,78.66,95,100,0.89,TW,2022-05-13 00:42:28
175,Husavik,66.0449,-17.3389,30.7,95,100,16.91,IS,2022-05-13 00:42:29
176,Llanes,43.4198,-4.7549,59.79,93,84,4.47,ES,2022-05-13 00:42:29
177,Kuching,1.55,110.3333,77.22,94,20,0.0,MY,2022-05-13 00:42:30
178,La Sarre,48.8002,-79.1996,65.23,51,94,12.26,CA,2022-05-13 00:42:31
