City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
106,Berlevag,NO,33.75,snow,70.8578,29.0864,Kvitbrakka
107,Albufeira,PT,73.24,few clouds,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
109,Zhigansk,RU,32.0,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
113,Castro,BR,36.93,clear sky,-24.7911,-50.0119,CHACARA BAILLY
116,Diego De Almagro,CL,59.59,clear sky,-26.3667,-70.05,hotel luna del desierto
119,Cherskiy,RU,49.55,overcast clouds,68.75,161.3,Gostinitsa
120,East London,ZA,68.52,clear sky,-33.0153,27.9116,Tu Casa
121,Libohove,AL,58.8,clear sky,40.0311,20.2631,Bar Cafe Hotel OREKLE
123,Penzance,GB,56.08,few clouds,50.1186,-5.5371,Artist Residence Penzance
124,Siteki,SZ,60.8,clear sky,-26.45,31.95,Siteki Hotel
126,Port Elizabeth,ZA,66.31,clear sky,-33.918,25.5701,39 On Nile Guest House
127,Lebu,CL,51.66,clear sky,-37.6167,-73.65,Hostal Las Lilas
128,Bichura,RU,68.32,few clouds,50.5881,107.6022,Gostinitsa Uyut
130,Hermanus,ZA,68.92,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
133,Talnakh,RU,42.21,light rain,69.4865,88.3972,Talnakh Hotel
134,Springfield,US,73.65,few clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
137,Prince Rupert,CA,44.69,light rain,54.3161,-130.3201,Crest Hotel
138,Torbay,CA,42.28,overcast clouds,47.6666,-52.7314,Gallows Cove
139,Barsovo,RU,51.93,broken clouds,61.1667,73.1667,Dipanjan Goswami
140,Anadyr,RU,43.3,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
145,Farsund,NO,54.95,overcast clouds,58.0948,6.8047,Farsund Fjordhotel
148,Brae,GB,50.31,broken clouds,60.3964,-1.353,Busta House Hotel
149,Kamloops,CA,59.99,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
151,Santiago,CL,59.29,mist,-33.4569,-70.6483,Hotel Panamericano
153,Pisco,PE,62.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
154,Camana,PE,64.47,few clouds,-16.6228,-72.7111,Hostal Morales
157,Katsuura,JP,65.89,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
159,Pevek,RU,33.04,light snow,69.7008,170.3133,Severnoye Zoloto
160,Gimli,CA,39.22,moderate rain,50.6336,-96.9907,Lakeview Gimli Resort
161,Abu Kamal,SY,71.91,clear sky,34.4506,40.9171,البوكمال
164,Arraial Do Cabo,BR,68.85,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
165,Talcahuano,CL,49.68,mist,-36.7167,-73.1167,departamento comodo
166,Mwinilunga,ZM,56.86,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
167,Date,JP,57.49,clear sky,42.4681,140.8681,静香荘
169,Seoul,KR,65.64,light rain,37.5683,126.9778,롯데호텔 서울
170,Carnarvon,AU,73.83,clear sky,-24.8667,113.6333,Hospitality Carnarvon
171,Lolodorf,CM,69.3,overcast clouds,3.2333,10.7333,Auberge La Decouverte
173,Hassleholm,SE,43.36,overcast clouds,56.1591,13.7664,Göingehof
177,Saint-Leu,RE,70.63,clear sky,-21.15,55.2833,La Caz Oceane
178,Hay River,CA,48.18,light rain,60.8156,-115.7999,Ptarmigan Inn
179,Viedma,AR,43.99,clear sky,-40.8135,-62.9967,Hotel Cristal
181,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
182,Ambilobe,MG,69.37,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
185,Paamiut,GL,34.7,few clouds,61.994,-49.6678,Pistut
186,Port Hardy,CA,51.98,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
187,Nara,JP,73.71,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
188,Peniche,PT,63.28,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
190,Caernarfon,GB,55.13,broken clouds,53.1413,-4.2702,Taldrwst Farmhouse
191,Myitkyina,MM,74.88,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
192,Skelleftea,SE,46.0,few clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
193,Santiago Del Estero,AR,48.83,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
195,Dekernes,EG,63.27,clear sky,31.0876,31.595,زكريا عبد الفتاح سليم
196,Asilah,MA,69.76,clear sky,35.465,-6.0348,Hotel Zelis
197,Inuvik,CA,32.86,light shower snow,68.3499,-133.7218,Nova Inn Inuvik
198,Uitenhage,ZA,65.62,clear sky,-33.7576,25.3971,Mi Casa Guest House
199,Bindura,ZW,59.25,overcast clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
200,Capela,BR,71.76,few clouds,-10.5033,-37.0528,Recanto Tia Josi
203,Paoua,CF,70.05,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
205,Kaitangata,NZ,59.16,light rain,-46.2817,169.8464,Kaitangata Motor Camp
